cleanedV	Freq
affordable	12
afghan	7
afghani	2
afghanis	3
afghanistan	33
afghanistanall	1
afghanistans	1
afghanistant	1
afoot	1
afraid	68
africa	60
africaand	1
africabefore	1
africahas	1
africaits	1
african	19
africanamerican	7
africanamericans	5
africans	5
africathis	1
after	353
afterall	1
afternoon	30
afternoons	1
aftershave	1
afterwards	1
ag	40
agaiin	1
again	830
again100	1
againand	1
againbrian	1
againbut	1
againcan	1
againeverybody	1
againgod	1
againhe	3
againin	1
againis	1
againjeb	1
againjust	1
againmake	1
againmy	1
againnot	1
againrubiocruz	1
againrun	1
againso	1
against	275
againstisis	1
againthen	1
againtrump	2
againusa	1
againwho	1
againyikes	1
againyou	1
age	24
age16	1
agencies	2
agency	6
agenda	23
agendadefeating	1
agent	8
agents	8
ages	4
agethey	1
aggravation	1
aggression	1
aggressive	9
aggressively	2
aggressor	1
agitators	1
agnstt	1
ago	132
agoa	1
agoi	1
agree	284
agreeand	1
agreebut	1
agreed	37
agreegt	1
agreei	1
agreeing	5
agreeit	1
agreement	12
agreements	1
agrees	12
agreethanks	1
agreeyet	1
agriculture	1
ah	1
aha	1
ahead	65
ahem	1
ahhh	1
ahhhhhh	1
ahi	1
ahmadinejad	4
ahmadinejads	1
aholesyour	1
aid	19
aide	1
aided	3
aides	5
aiding	1
aidmake	1
aids	2
aig	3
ailes	12
ails	1
ailsa	10
aim	6
aimed	2
aiming	1
aims	1
aint	7
aipac	1
air	70
airbase	1
airbus	2
airconditioned	1
aircraft	7
aired	6
airhes	1
airing	9
airlifted	1
airline	1
airlines	9
airman	1
airmaxs	1
airnot	1
airplane	7
airport	14
airports	13
airs	7
airspace	2
airstrikes	2
airthanks	1
airtime	5
airtimespent	1
airwaves	1
airways	2
airwaysamerican	1
aj	3
ak	1
ak47	1
aka	8
akbar	1
akoya	2
akron	3
al	44
ala	1
alabama	30
alan	8
alana	1
alarmists	1
alaska	3
albaghdad	1
albany	6
albeit	1
albert	30
album	3
albuquerque	2
alcohol	4
aldous	1
aldridge	1
aleady	1
alec	3
alecits	1
alejandro	1
alert	7
alerted	1
alertevery	1
alerts	1
alertserial	2
alertthe	2
alertus	1
alex	13
alexander	3
alfred	1
algae	3
algaepowered	1
algemeiner	1
algeria	1
ali	5
alice	1
alicia	2
alien	3
aliens	9
aliensampgives	1
aliensampsave	1
alike	5
alinsky	2
alis	1
alisa	1
alison	3
alisyn	1
alive	18
alivebig	1
alivebut	1
alivewind	1
aljazeera	1
all	1719
alla	1
allah	1
allaying	1
allby	1
allegation	1
allegations	2
alleged	2
allegiance	1
alleliua	1
allen	5
alleven	1
alley	1
allhandsondeck	1
alliance	1
allies	16
allis	3
allison	1
alllllll	3
allnew	2
allow	47
allowed	74
allowedand	1
allowedonly	1
allowing	22
allows	4
allred	2
allstar	67
allstars	5
allthanks	1
alltime	20
alltimer	1
allure	1
ally	27
allyn	3
allys	1
allzero	1
alma	1
almegrahi	3
almost	88
aloha	2
alone	44
alonebeing	1
along	50
alongno	1
alongside	1
alot	3
alpha	2
alqaeda	1
already	145
alreadysweet	1
alreadytell	1
alright	2
als	7
alshabaab	1
alshabbab	1
also	221
alternative	2
alternatives	1
although	6
altogether	1
alum	1
alumni	2
alvarezkhan	1
always	429
alyssa	2
alzayani	1
am	781
ama	1
amanda	2
amassed	3
amassing	1
amateur	8
amateurs	4
amaze	4
amazed	2
amazes	1
amazing	508
amazing5	1
amazingboth	1
amazingcome	1
amazingggg	1
amazingi	1
amazingly	4
amazingmy	2
amazingobama	1
amazingplaying	1
amazingthe	2
amazingwe	1
amazon	3
amazoncom	1
amb	1
